N filter/recursive filter/list-comprehension filter/list-comprehension-named filter/filter-named 
100 0.0027084351 0.0023193359 0.0026779175 0.0024337769 
500 0.0029983520 0.0028991699 0.0020980835 0.0031433105 
1000 0.0029373169 0.0032653809 0.0029449463 0.0037765503 
5000 0.0043640137 0.0041580200 0.0051345825 0.0064010620 
10000 0.0069808960 0.0071868897 0.0089263916 0.0099411011 
50000 0.0189819336 0.0166168213 0.0215759277 0.0234909057 
100000 0.0286254883 0.0287780761 0.0373001099 0.0487594604 
500000 0.1263961792 0.1337738037 0.1721725464 0.2248077393 
1000000 0.3694229126 0.3652648926 0.4772338867 0.5565948486 
5000000 1.8727798462 1.8254623413 2.3245620727 2.7508544922 
10000000 3.6559143066 3.5841598511 4.7546005249 5.5021820068 
