N filter-map/my-filter-map filter-map/filter-map-comp filter-map/filtermap filter-map/recursive filter-map/list-comprehension 
10000 0.0113983154 0.0115203858 0.0099334717 0.0065307617 0.0064163208 
50000 0.0284805298 0.0354156494 0.0359954834 0.0176773072 0.0184173584 
100000 0.0494766235 0.0614242554 0.0490417481 0.0255126953 0.0279083252 
500000 0.2593307495 0.3242340088 0.2363586426 0.1303558350 0.1301803589 
1000000 0.6380310058 0.7091522217 0.5606536865 0.3693008423 0.3705978393 
2000000 1.2340087891 1.3510437012 1.1669616699 0.6580963134 0.6890182495 
3000000 2.0322723389 2.1085052490 1.7034149170 1.1240158081 1.1888504029 
4000000 1.9661788940 2.8963699341 2.1412048339 0.9287567139 0.9029769897 
5000000 2.5689086914 3.5662994385 2.7315444946 1.2366561890 1.2847595214 
6000000 3.1219863892 4.0237579346 2.8828582763 1.5167160035 1.5230636596 
7000000 3.6236114502 4.6743316650 3.5690689086 1.7846679687 1.7652969361 
8000000 4.0600585938 5.3266448975 4.3127288819 1.8946456910 1.8984146119 
9000000 5.9698562622 6.4872207642 5.1286239624 3.4329376221 3.4314193726 
10000000 5.6034393311 6.8135452271 5.7784042358 2.8580474854 2.9076690674 
