N filter/filter-named filter/list-comprehension filter/recursive filter/list-comprehension-named 
10000 0.0102767944 0.0072784424 0.0065078735 0.0089111328 
50000 0.0250320434 0.0159454345 0.0170364380 0.0225219727 
100000 0.0482864380 0.0308151245 0.0293655395 0.0383148194 
500000 0.2265014648 0.1241912842 0.1234588623 0.1705322265 
1000000 0.5595321656 0.3604049683 0.3581085205 0.4074249268 
2000000 1.0878753662 0.6853179932 0.6866531372 0.8335571289 
3000000 1.3815917969 1.1186141967 1.1637115479 1.3323822022 
4000000 2.2848510742 1.4887619018 1.4970092774 1.7176589966 
5000000 2.5689392089 1.7947540283 1.7714691162 2.2415008545 
6000000 3.1470947265 2.1087799073 2.1237411499 2.7239685059 
7000000 3.7963943481 2.4811325073 2.4927673340 3.2034835815 
8000000 4.6828536987 3.0098037720 2.9662475586 3.8171844482 
9000000 4.1431350708 3.3064193726 3.4318542480 4.1856536865 
10000000 5.4416809082 3.5731506348 3.5817718506 4.5864791870 
