Module;Function;Mehtod;Domain;Input;Average;StandDev;Min;Max;Median;Range
map;list_comprehension;sysfs;energy-cores;100;0.00120249982;0.0003503211450465599;0.000916;0.0021369997;0.0010984996500000002;0.0012209996999999998
map;list_comprehension;sysfs;energy-cores;500;0.00122649957;0.000269150100976405;0.0009149997;0.0017089993;0.0011594994000000002;0.0007939996
map;list_comprehension;sysfs;energy-cores;1000;0.00125749959;0.0002157164357568284;0.000976;0.0016479995;0.00125149965;0.0006719995
map;list_comprehension;sysfs;energy-cores;5000;0.00165409949;0.00024644460969298047;0.0013429997;0.0021359995;0.0016479995;0.0007929998000000002
map;list_comprehension;sysfs;energy-cores;10000;0.00177609958;0.00028676464330353946;0.001526;0.002257999;0.0016479995;0.0007319990000000001
map;list_comprehension;sysfs;energy-cores;50000;0.00685439781;0.002181102390941742;0.0047609992;0.0117799938;0.00619549865;0.007018994599999999
map;list_comprehension;sysfs;energy-cores;100000;0.0123716943;0.005418802175103621;0.0067749992;0.0179439932;0.012481495749999998;0.011168994000000002
map;list_comprehension;sysfs;energy-cores;500000;0.12609825135;0.01310188158921798;0.1093739867;0.1481928825;0.12191796305;0.03881889580000002
map;list_comprehension;sysfs;energy-cores;1000000;0.25516901017;0.06019247945768398;0.1786489487;0.3602888584;0.24484241010000002;0.18163990970000002
map;list_comprehension;sysfs;energy-cores;5000000;1.7053781509500001;0.2911763772627352;1.4102735519;2.2969894409;1.59228134155;0.886715889
map;list_comprehension;sysfs;energy-cores;10000000;2.97081012725;0.5613152259351576;2.1588077545;4.3497161865;2.9024887085;2.190908432
map;list_comprehension;sysfs;energy-gpu;100;0.00020140000000000002;0.00043067084621294924;0.0;0.00116;0.0;0.00116
map;list_comprehension;sysfs;energy-gpu;500;3.05e-05;9.644946863513556e-05;0.0;0.000305;0.0;0.000305
map;list_comprehension;sysfs;energy-gpu;1000;0.0001098;0.0003472180870864881;0.0;0.001098;0.0;0.001098
map;list_comprehension;sysfs;energy-gpu;5000;0.0;0.0;0.0;0.0;0.0;0.0
map;list_comprehension;sysfs;energy-gpu;10000;0.00020140000000000002;0.00043640837144430066;0.0;0.001221;0.0;0.001221
map;list_comprehension;sysfs;energy-gpu;50000;0.0005127;0.001084322425398563;0.0;0.002747;0.0;0.002747
map;list_comprehension;sysfs;energy-gpu;100000;0.00047000000000000004;0.0010986910393736722;0.0;0.003357;0.0;0.003357
map;list_comprehension;sysfs;energy-gpu;500000;0.0002991;0.0006346429354806965;0.0;0.001648;0.0;0.001648
map;list_comprehension;sysfs;energy-gpu;1000000;0.0002991;0.0006320317238873378;0.0;0.001587;0.0;0.001587
map;list_comprehension;sysfs;energy-gpu;5000000;0.001135;0.001382935364441239;0.0;0.003112;0.000244;0.003112
map;list_comprehension;sysfs;energy-gpu;10000000;0.0027282;0.002714907397643201;0.0;0.009339;0.0022885;0.009339
map;list_comprehension;sysfs;energy-pkg;100;0.0031678;0.001420269989982343;0.002014;0.005188;0.00232;0.0031739999999999997
map;list_comprehension;sysfs;energy-pkg;500;0.0037474;0.0008780906306045837;0.001892;0.004822;0.0039975;0.00293
