N map/my-map-named map/list-comprehension map/recursive map/map-named map/map-fun map/list-comprehension-named 
10000 0.0015406250 0.0008602500 0.0007773750 0.0016753750 0.0015497500 0.0009732500 
50000 0.0051212500 0.0044293750 0.0042631250 0.0055165000 0.0051081250 0.0043098750 
100000 0.0079116250 0.0057835000 0.0060083750 0.0072318750 0.0071866250 0.0059181250 
500000 0.0399685000 0.0329061250 0.0312932500 0.0379512500 0.0396115000 0.0248648750 
1000000 0.0649507500 0.0501572500 0.0499881250 0.0719781250 0.0700183750 0.0482448750 
2000000 0.1432755000 0.1193272500 0.1266810000 0.1426373750 0.1431752500 0.1075086250 
3000000 0.2380586250 0.1970765000 0.1936320000 0.2233377500 0.2406827500 0.2073636250 
4000000 0.2376348750 0.1803968750 0.1754933750 0.2331692500 0.2309248750 0.1894415000 
5000000 0.3498391250 0.2862450000 0.2853178750 0.3157212500 0.3482872500 0.2930727500 
6000000 0.4204826250 0.3467436250 0.3372583750 0.3830690000 0.4134773750 0.3394175000 
7000000 0.4414585000 0.3534860000 0.3434152500 0.4252895000 0.4301530000 0.3664181250 
8000000 0.4728768750 0.3768353750 0.3779996250 0.4695537500 0.4737106250 0.3795946250 
9000000 0.6991231250 0.5728736250 0.5677752500 0.6359931250 0.6941368750 0.6088322500 
10000000 0.5800727500 0.4776923750 0.4575277500 0.5920231250 0.5788107500 0.4938398750 
