N filter/my-filter-named filter/filter-named filter/list-comprehension-named filter/list-comprehension-fun filter/filter-fun filter/my-filter-fun filter/list-comprehension filter/recursive 
10000 0E-20 0E-20 0E-20 0E-20 0E-20 0E-20 0E-20 0E-20 
50000 0.0160000000000000003331 0.0160000000000000003331 0.0160000000000000003331 0.0160000000000000003331 0.0160000000000000003331 0.0160000000000000003331 0.0149999999999999994449 0.0160000000000000003331 
100000 0.0459999999999999992228 0.0470000000000000001110 0.0619999999999999995559 0.0470000000000000001110 0.0470000000000000001110 0.0459999999999999992228 0.0309999999999999997780 0.0149999999999999994449 
500000 0.234999999999999986677 0.250000000000000000000 0.203000000000000013767 0.203000000000000013767 0.234000000000000013545 0.234000000000000013545 0.125000000000000000000 0.125000000000000000000 
1000000 0.593999999999999972466 0.516000000000000014211 0.500000000000000000000 0.500000000000000000000 0.562000000000000055067 0.577999999999999958256 0.359999999999999986677 0.375000000000000000000 
2000000 1.28099999999999991651 1.18700000000000005507 1.15599999999999991651 1.15599999999999991651 1.25000000000000000000 1.28200000000000002842 0.858999999999999985789 0.859999999999999986677 
3000000 1.93799999999999994493 1.93799999999999994493 1.64100000000000001421 1.64100000000000001421 1.78200000000000002842 1.79699999999999993072 1.20300000000000006928 1.21900000000000008349 
4000000 2.84399999999999986144 1.98500000000000009770 2.40700000000000002842 2.43800000000000016698 2.62500000000000000000 2.67200000000000015277 1.86000000000000009770 1.84400000000000008349 
5000000 3.32799999999999984723 2.70299999999999984723 2.90600000000000013856 2.95299999999999984723 3.23499999999999987566 3.25000000000000000000 2.23499999999999987566 2.21899999999999986144 
6000000 3.96799999999999997158 3.25000000000000000000 3.48399999999999998579 3.57799999999999984723 3.82799999999999984723 3.85899999999999998579 2.65600000000000013856 2.65700000000000002842 
7000000 4.68700000000000027711 4.07800000000000029132 4.12500000000000000000 4.15599999999999969447 4.53099999999999969447 4.53099999999999969447 3.17200000000000015277 3.17099999999999981881 
8000000 5.46799999999999997158 5.01499999999999968026 4.87500000000000000000 4.88999999999999968026 5.29699999999999970868 5.43700000000000027711 3.78100000000000013856 3.78100000000000013856 
9000000 5.79699999999999970868 5.20300000000000029132 5.06299999999999972289 5.14100000000000001421 5.65599999999999969447 5.65599999999999969447 3.89100000000000001421 3.89000000000000012434 
10000000 6.65599999999999969447 4.92100000000000026290 5.90599999999999969447 5.93799999999999972289 6.46900000000000030553 6.54699999999999970868 4.56200000000000027711 4.54600000000000026290 
