N filter-map/list-comprehension-named filter-map/recursive filter-map/filter-map-comp filter-map/recursive-named filter-map/list-comprehension filter-map/filtermap filter-map/my-filter-map 
10000 0 0 0.0 0 0 0.0 0 
50000 0 0 292989.6 0.0 0 170332.36000000002 0.0 
100000 0.0 0 422528.39 0 0.0 0.0 0.0 
500000 315527.77999999997 799256.6599999999 718328.92 323139.12 0 95521.906 737398.62 
1000000 2495954.78 674018.515 1988218.97 501893.75 1575356.84 1438768.3050000002 3796776.3599999994 
2000000 3726103.2299999995 0.0 5794677.076 3472097.372 1805805.92 3010791.3800000004 6465721.39 
3000000 6525214.793999999 3818104.5799999996 9222479.705 6962210.515000001 3725899.659999999 9028423.149999999 8610738.745000001 
4000000 8536057.330000002 5871111.029999999 13805513.010000002 7745753.049999999 4874498.57 12583216.330000002 11556439.182 
5000000 11557117.18 6490009.96 17463433.975 10358728.27 7546123.924000001 18394023.550000004 14855129.690000001 
6000000 11742236.179 9030246.629999999 20214321.996 12581578.750000002 7172182.379999998 21373738.47 14920389.306000004 
7000000 15073825.736000001 10520721.879999999 23948411.485000007 14486362.514999997 11716298.4 20140894.180999998 19992458.249999993 
8000000 14863434.100000003 10137737.860000001 27230759.456 17449356.743999995 11105923.15 26377270.865999997 19556312.03999999 
9000000 19629326.064999998 11501347.34 29471099.59000001 20127550.480000004 10739623.374000002 28380384.674000002 23902513.651999995 
10000000 21860654.389999997 13699767.9 31534473.786000006 19268027.195 12702886.470000003 27227518.98 26456966.067000005 
