N map/recursive map/list-comprehension map/my-map-named map/map-named map/map-fun 
10000 0 0.0 0.0 0.0 0.0 
50000 0.0 0.0 0.0 0 0.0 
100000 0 0.0 94058.956 98975.7 0.0 
500000 0 0.0 0.0 0.0 121803.34 
1000000 0.0 0 613867.0599999999 3205941.5659999996 0.0 
2000000 0.0 185926.869 1227331.78 2428677.6900000004 1831622.378 
3000000 2308440.31 8854673.646000002 1727976.97 2247959.566 3355101.8150000004 
4000000 4683710.989 3806082.3409999995 6682945.162999999 8902709.870000001 6976936.584999999 
5000000 7032967.352000001 5568653.066 10972308.211999997 10402591.525 11841287.710000003 
6000000 11950581.28 17371499.71 12747136.589000003 11370470.511 16792168.809999995 
7000000 14410616.930000002 12601064.34 20800648.935999997 19800388.112 19660100.001000002 
8000000 11086173.39 10596952.814 17098013.746000003 16239958.210000003 16488380.969999995 
9000000 21098646.323999997 20317104.595000003 29925500.650000006 28742343.160000004 30004585.921000004 
10000000 25168340.102999996 25617376.415 36336266.044 32358819.340000004 35287497.464999996 
