N map/recursive map/list-comprehension map/my-map-named map/map-named map/map-fun 
10000 0E-20 0E-20 0E-20 0E-20 0E-20 
50000 0.0160000000000000003331 0.0160000000000000003331 0.0160000000000000003331 0.0309999999999999997780 0.0309999999999999997780 
100000 0.0160000000000000003331 0.0160000000000000003331 0.0470000000000000001110 0.0309999999999999997780 0.0309999999999999997780 
500000 0.234000000000000013545 0.234000000000000013545 0.281999999999999972911 0.313000000000000000444 0.295999999999999985345 
1000000 0.641000000000000014211 0.640000000000000013323 0.781000000000000027534 0.734999999999999986677 0.765000000000000013323 
2000000 1.43700000000000005507 1.45300000000000006928 1.70300000000000006928 1.56200000000000005507 1.70300000000000006928 
3000000 2.26600000000000001421 2.26500000000000012434 2.62500000000000000000 2.67099999999999981881 2.59399999999999986144 
4000000 2.68800000000000016698 2.68699999999999983302 3.12500000000000000000 3.09299999999999997158 3.14100000000000001421 
5000000 3.56199999999999983302 3.59399999999999986144 4.21799999999999997158 3.43800000000000016698 4.14100000000000001421 
6000000 4.28099999999999969447 4.29699999999999970868 5.00000000000000000000 4.53200000000000002842 5.01499999999999968026 
7000000 4.88999999999999968026 4.89100000000000001421 5.78099999999999969447 4.87500000000000000000 5.73500000000000031974 
8000000 1.90599999999999991651 1.90700000000000002842 2.89000000000000012434 3.04700000000000015277 2.85899999999999998579 
9000000 5.81299999999999972289 5.53099999999999969447 6.67199999999999970868 6.42100000000000026290 6.62500000000000000000 
10000000 6.56299999999999972289 6.75000000000000000000 7.79699999999999970868 7.82800000000000029132 7.71900000000000030553 
