N map-find/find-pattern-match map-find/find 
50000 0.3683242798 0.4761581421 
100000 0.3095321656 0.4017486573 
200000 0.2459640503 0.3666076660 
300000 0.2529373169 0.3606491089 
400000 0.2608795166 0.3697204590 
500000 0.2537918091 0.3894424438 
1000000 0.3314971924 0.4525833130 
2000000 0.2599334717 0.4004745483 
3000000 0.3133697510 0.4985656738 
4000000 0.3415756226 0.6482925415 
5000000 0.2703933716 0.4144592285 
6000000 0.3373260498 0.4856643677 
7000000 0.3276367187 0.4677047729 
8000000 0.3237304688 0.4774551392 
9000000 0.3263397217 0.4796142578 
10000000 0.2701187134 0.4107360840 
