N dict-build/recursive-from-list dict-build/from-list 
100 0E-20 0E-20 
500 0E-20 0E-20 
1000 0E-20 0.0160000000000000003331 
5000 0.0619999999999999995559 0.0309999999999999997780 
10000 0.203000000000000013767 0.140999999999999986455 
20000 0.484999999999999986677 0.391000000000000014211 
30000 1.01499999999999990230 0.781000000000000027534 
40000 1.51600000000000001421 1.09400000000000008349 
50000 2.29700000000000015277 1.67199999999999993072 
60000 3.10999999999999987566 2.25000000000000000000 
70000 3.82900000000000018119 2.85999999999999987566 
80000 4.86000000000000031974 3.43800000000000016698 
90000 6.11000000000000031974 4.14100000000000001421 
100000 7.48500000000000031974 5.32800000000000029132 
200000 25.1250000000000000000 17.2650000000000005684 
300000 56.1880000000000023874 35.0159999999999982379 
400000 94.6719999999999970441 61.7650000000000005684 
500000 146.454000000000007731 91.3589999999999946567 
600000 196.173841000000010126 120.485309999999998354 
700000 262.077486000000021704 162.562675000000012915 
800000 375.606770999999980631 260.874324000000001433 
900000 475.845105999999987034 276.737153999999975440 
1000000 561.140067000000044573 330.156243000000017673 
