N map-delete/without map-delete/remove map-delete/take 
100 1.32800000000000006928 1.20399999999999995914 1.65599999999999991651 
500 1.00000000000000000000 0.687000000000000055067 0.718999999999999972466 
1000 1.20300000000000006928 0.858999999999999985789 0.875000000000000000000 
5000 1.09299999999999997158 0.782000000000000028422 0.812999999999999944933 
10000 1.23500000000000009770 0.968999999999999972466 0.952999999999999958256 
20000 2.92200000000000015277 0.953999999999999959144 2.35999999999999987566 
30000 3.03100000000000013856 2.64000000000000012434 2.81300000000000016698 
40000 2.75000000000000000000 2.39100000000000001421 2.54700000000000015277 
50000 3.78100000000000013856 3.39100000000000001421 3.50000000000000000000 
60000 3.59399999999999986144 3.18900000000000005684 3.29700000000000015277 
70000 2.75000000000000000000 2.39000000000000012434 2.56300000000000016698 
80000 3.07900000000000018119 2.50000000000000000000 2.64000000000000012434 
90000 3.68800000000000016698 3.25000000000000000000 3.42200000000000015277 
100000 3.79599999999999981881 3.42200000000000015277 3.53100000000000013856 
200000 3.59399999999999986144 3.18699999999999983302 3.28100000000000013856 
300000 3.56300000000000016698 3.21899999999999986144 3.28100000000000013856 
400000 3.64100000000000001421 3.23399999999999998579 3.31300000000000016698 
500000 3.42200000000000015277 3.04700000000000015277 3.12500000000000000000 
600000 3.43800000000000016698 3.14000000000000012434 3.17200000000000015277 
700000 3.57799999999999984723 3.26600000000000001421 3.35899999999999998579 
800000 3.50000000000000000000 3.12500000000000000000 3.21799999999999997158 
900000 3.48399999999999998579 3.18800000000000016698 3.18800000000000016698 
1000000 3.45299999999999984723 3.12500000000000000000 3.20299999999999984723 
2000000 3.45299999999999984723 3.12500000000000000000 3.17200000000000015277 
3000000 3.73499999999999987566 3.51600000000000001421 3.46799999999999997158 
4000000 3.87500000000000000000 3.53200000000000002842 3.57799999999999984723 
5000000 3.76500000000000012434 3.84399999999999986144 3.48499999999999987566 
6000000 3.78100000000000013856 3.57799999999999984723 3.56199999999999983302 
7000000 3.87500000000000000000 3.95299999999999984723 3.62500000000000000000 
8000000 3.93699999999999983302 4.09400000000000030553 3.65700000000000002842 
9000000 3.95299999999999984723 3.79700000000000015277 3.73499999999999987566 
10000000 3.67200000000000015277 3.59399999999999986144 3.35899999999999998579 
