N dict-find/find dict-find/fetch map-find/find map-find/find-pattern-match 
100 6954325.264000001 8175855.35 1160360.21 573310.9 
500 8044108.49 8413508.739999998 2141262.6 880405.5599999999 
1000 9965235.9 7331345.24 347488.9 368177.01 
5000 9056869.16 7282551.250000002 313558.62 284060.01 
10000 7543395.840000001 9467402.0 430753.77 576459.2699999999 
20000 7009123.079999998 10252440.450000001 1247498.1 705137.7860000001 
30000 8565477.03 9551272.959999999 530888.61 497091.79000000004 
40000 9650227.126 8903012.459999999 1261082.2600000002 419180.14 
50000 12171663.31 9334328.25 3403465.0799999996 1415627.9899999998 
60000 9699317.17 7278764.005 1306154.15 713569.755 
70000 7364232.720000001 8062864.7299999995 1041436.8800000001 808687.71 
80000 7378167.549999999 7253289.625 1230141.95 437902.62 
90000 7980565.85 7426908.1049999995 1252195.6300000001 809343.47 
100000 8043348.919999999 8085655.209999999 744020.62 1265087.67 
200000 6248017.090000002 8892716.329999998 1380204.85 166782.145 
300000 7001865.38 7393595.540000001 1114207.2 256320.12999999998 
400000 4503142.0600000005 6323832.2700000005 470736.61 746699.14 
500000 4972921.826 7783336.4180000005 1009552.24 1294138.7550000001 
600000 3083180.2800000003 7357906.344999999 1504149.9340000001 268417.54 
700000 6232527.89 6620506.75 604859.8099999999 297666.68 
800000 8753406.114000002 8069783.109999999 955184.026 1289789.8939999999 
900000 10375796.320000002 8544306.42 655739.5900000001 898200.35 
1000000 7191219.8 7378377.5 605739.5 981733.1300000001 
