N list-find/recursive list-find/get-value map-find/find list-find/keyfind 
100 0.0 0 1160360.21 0.0 
500 0.0 0.0 2141262.6 0 
1000 0 0 347488.9 0 
5000 0 0 313558.62 0.0 
10000 0 0.0 430753.77 0.0 
20000 0.0 0.0 1247498.1 0 
30000 103444.19399999999 414987.326 530888.61 0.0 
40000 690637.1599999999 558274.88 1261082.2600000002 0.0 
50000 654624.515 740735.8300000001 3403465.0799999996 0 
60000 569584.76 2337392.0300000003 1306154.15 318689.82 
70000 1526719.9 1474411.8699999999 1041436.8800000001 368419.56 
80000 1426624.5000000002 3988702.63 1230141.95 328953.496 
90000 861001.2300000001 3383184.31 1252195.6300000001 462228.99000000005 
100000 1160929.3900000001 4554150.2 744020.62 289855.21499999997 
200000 6251069.569999999 8618489.384 1380204.85 822698.9400000001 
300000 6842514.45 10648503.698 1114207.2 3722022.7299999995 
400000 11541481.410000002 14557742.830000002 470736.61 4705455.886 
500000 13338540.46 17108967.720000006 1009552.24 8198902.300000002 
600000 16509733.969999999 19659662.479999997 1504149.9340000001 6378486.9 
700000 18794666.999999996 23502800.68 604859.8099999999 8477829.852 
800000 20738173.48 25120649.406000003 955184.026 9947156.896000002 
900000 23879989.780000005 29818746.950000007 655739.5900000001 11134982.200000001 
1000000 25420727.06399999 29714430.514999997 605739.5 13509696.8 
2000000 42752896.33 54884747.029999994 1510103.49 21009296.28000001 
3000000 57818313.489999995 69849498.05999999 1663268.6 29374968.35 
4000000 72579543.56999998 85585579.60000005 3795599.4299999997 36495229.756 
5000000 81500062.47 101844071.76 2338364.54 39832912.96999999 
6000000 94388675.81999995 110394498.7 2006079.67 47335204.65 
7000000 99953196.76999998 124485160.43000004 1251692.255 56055774.18999998 
8000000 108871565.306 133873273.33999994 913693.32 56164902.44 
9000000 117055686.53000002 140420294.76999992 1190629.78 60395427.66000001 
10000000 127321278.33000016 155387706.29 352318.0 70083109.79 
