N map-find/find-pattern-match list-find/get-value list-find/keyfind map-find/find 
100 573310.9 0 0.0 1160360.21 
500 880405.5599999999 0.0 0 2141262.6 
1000 368177.01 0 0 347488.9 
5000 284060.01 0 0.0 313558.62 
10000 576459.2699999999 0.0 0.0 430753.77 
20000 705137.7860000001 0.0 0 1247498.1 
30000 497091.79000000004 414987.326 0.0 530888.61 
40000 419180.14 558274.88 0.0 1261082.2600000002 
50000 1415627.9899999998 740735.8300000001 0 3403465.0799999996 
60000 713569.755 2337392.0300000003 318689.82 1306154.15 
70000 808687.71 1474411.8699999999 368419.56 1041436.8800000001 
80000 437902.62 3988702.63 328953.496 1230141.95 
90000 809343.47 3383184.31 462228.99000000005 1252195.6300000001 
100000 1265087.67 4554150.2 289855.21499999997 744020.62 
200000 166782.145 8618489.384 822698.9400000001 1380204.85 
300000 256320.12999999998 10648503.698 3722022.7299999995 1114207.2 
400000 746699.14 14557742.830000002 4705455.886 470736.61 
500000 1294138.7550000001 17108967.720000006 8198902.300000002 1009552.24 
600000 268417.54 19659662.479999997 6378486.9 1504149.9340000001 
700000 297666.68 23502800.68 8477829.852 604859.8099999999 
800000 1289789.8939999999 25120649.406000003 9947156.896000002 955184.026 
900000 898200.35 29818746.950000007 11134982.200000001 655739.5900000001 
1000000 981733.1300000001 29714430.514999997 13509696.8 605739.5 
2000000 1225433.33 54884747.029999994 21009296.28000001 1510103.49 
3000000 1230145.9899999998 69849498.05999999 29374968.35 1663268.6 
4000000 465485.0300000001 85585579.60000005 36495229.756 3795599.4299999997 
5000000 490376.855 101844071.76 39832912.96999999 2338364.54 
6000000 2006079.67 110394498.7 47335204.65 2006079.67 
7000000 1085829.5100000002 124485160.43000004 56055774.18999998 1251692.255 
8000000 1062644.49 133873273.33999994 56164902.44 913693.32 
9000000 1190629.78 140420294.76999992 60395427.66000001 1190629.78 
10000000 339020.294 155387706.29 70083109.79 352318.0 
