N list-chunks-1/send list-chunks/send list/send list/send-elements list-chunks-5/send 
10000 11029758.495 695129.88 298693.12 16948003.504999995 6739239.7 
50000 35313675.91799999 4138150.6659999997 0 28817134.896999992 37642710.996 
100000 61223926.738999985 10442622.079 2004623.0150000001 33410545.783000004 68632866.74000002 
200000 110450538.69300008 19492607.424999997 4357948.783 46645621.97399996 101494897.14 
300000 235901518.7880001 48253810.06799999 7868090.973999998 61296530.04199997 122474443.35500002 
400000 142764677.47600004 55600169.708000004 69289629.41000003 67820810.86099999 142703642.45 
500000 180697486.4800001 80437216.294 73119401.58999994 82045858.86199996 159460123.101 
600000 193719425.33899984 54620005.55799999 89364179.11499998 228741221.3420001 186897019.23000002 
700000 215107829.7850001 48252684.15300001 105237537.24699998 72656778.54100004 205280816.94500005 
800000 345169405.88500005 115300585.86600006 107920364.18399999 96914665.15199988 208341696.88799992 
900000 348548257.5999999 96813254.19800001 120201019.76999995 95045239.15499997 217841786.34300002 
1000000 338605836.382 149168287.82999998 125247582.836 284142225.88999975 232345243.78500003 
