N map/send dictionary/send list/send 
10000 572237.6199999999 184423.52 298693.12 
50000 0.0 16561861.958999997 0 
100000 87114.44399999999 1847562.2450000003 2004623.0150000001 
200000 3998081.400999999 11290548.231 4357948.783 
300000 6734206.935 59727812.59000001 7868090.973999998 
400000 8311022.155000001 88905664.30499998 69289629.41000003 
500000 69551869.22500001 106392076.06400001 73119401.58999994 
600000 76150717.438 81946897.83899997 89364179.11499998 
700000 126555007.28999999 124737627.52999997 105237537.24699998 
800000 105850099.77999999 133072564.84499995 107920364.18399999 
900000 110653841.29500005 164903834.93400007 120201019.76999995 
1000000 117838484.13500004 185220544.40999997 125247582.836 
