N farm-32/named-function farm-16/named-function farm-8/named-function farm-4/named-function farm-2/named-function 
100000 17133285.080000002 13457811.99 6704170.6899999995 7529074.5 5328195.58 
200000 25235709.229999997 23573455.479999997 14559497.450000003 13268718.849999998 11078680.290000001 
300000 38330921.980000004 31013972.57 18838722.940000005 18645859.048 17249814.470000003 
400000 44393268.589999996 33497017.73 23331529.188999996 18304790.470000003 19102184.360999998 
500000 52817883.968 45987478.8 27778669.065999996 21556415.54699999 25613939.439 
600000 56787194.15999999 48620081.95999999 31574645.585 23954953.390999995 28965694.402000003 
700000 70027905.72999999 45813783.67 30944428.80399999 26175027.415999997 37273963.02799999 
800000 74003904.41 58743394.580000006 33227256.544000007 43625499.184 40655266.186000004 
900000 85362810.79999998 62790933.839999996 58823824.30600002 34108978.598 44565710.79499998 
1000000 91350842.38000001 78826434.44600001 62712240.10999998 35755045.198 51560863.390000015 
