N farm-4/named-function farm-2/named-function farm-16/named-function farm-32/named-function farm-8/named-function 
100000 1.67199999999999993072 2.06199999999999983302 1.43799999999999994493 1.43799999999999994493 1.40700000000000002842 
200000 3.35899999999999998579 4.09299999999999997158 3.10899999999999998579 3.10899999999999998579 3.03100000000000013856 
300000 5.07899999999999973710 6.18799999999999972289 4.76499999999999968026 4.86000000000000031974 4.70199999999999995737 
400000 7.23399999999999998579 8.23499999999999943157 6.75000000000000000000 6.90599999999999969447 6.48399999999999998579 
500000 8.98499999999999943157 10.2980000000000000426 8.64000000000000056843 8.90700000000000002842 8.43699999999999938893 
600000 11.2660000000000000142 12.5009999999999994458 10.6099999999999994316 10.7029999999999994031 10.1880000000000006111 
700000 14.7660000000000000142 14.8589999999999999858 12.5470000000000005969 13.0000000000000000000 12.3300000000000000711 
800000 15.5009999999999994458 17.4220000000000005969 14.4049999999999993605 14.6110000000000006537 13.9849999999999994316 
900000 17.6389999999999993463 19.6559999999999988063 16.1080000000000005400 16.3129999999999988347 15.5929999999999999716 
1000000 19.9220000000000005969 21.8140000000000000568 18.5629999999999988347 18.6559999999999988063 17.9840000000000017621 
